country,factor,factor_content,endowment,gdp,trade_balance,ypc,pop,ypc_ratio,country_id,factor_id,delta
Bangladesh,L-service,-706.5829709,1815556.778,14281500000,-1541100288,638,95210000,0.043984832816270254,1,8,0.03
Pakistan,L-service,-1589.071625,979344.9102,31649452800,-2266232320,1217,90427008,0.0839021027231989,2,8,0.09
Indonesia,L-service,-2665.713531,2358744.5,90818720000,1108000768,1598,156584000,0.11016890727335402,3,8,0.1
Sri Lanka,L-service,-1416.349525,241948.5637,5087280000,-722249728,1734,15416000,0.11954498448810755,4,8,0.09
Thailand,L-service,-1677.002316,717858.3838,40207596480,-3910701056,2298,49639008,0.15842812823164426,5,8,0.17
Colombia,L-service,-3399.539378,723824.0127,39487680000,-1890000384,3107,27422000,0.21420199931058256,6,8,0.16
Panama,L-service,-1545.526737,84560.71217,4136220000,-1108799744,3360,2089000,0.23164426059979318,7,8,0.28
Yugoslavia,L-service,-78.15061807,537143.8921,60192000000,-2240999424,4306,22800000,0.2968631506377111,8,8,0.29
Portugal,L-service,-3679.023786,407261.4206,22520770000,-3655200768,4353,10099000,0.3001034126163392,9,8,0.14
Uruguay,L-service,1280.554368,174306.6248,7288980000,262000128,4507,2963000,0.310720441227163,10,8,0.11
Greece,L-service,-7978.997671,281216.2566,39064800000,-5087404032,5109,9840000,0.35222337125129266,11,8,0.45
